ano;origem;part;valor
2014;Federal;2º Decil;3475.78
2014;Executivo Federal;2º Decil;3289.91
2014;Judiciário Federal;2º Decil;8652.28
2014;Legislativo Federal;2º Decil;2295.5
2014;Municipal;2º Decil;1208.16
2014;Executivo Municipal;2º Decil;1198.87
2014;Legislativo Municipal;2º Decil;1310.39
2013;Público;2º Decil;1310.32
2013;Executivo;2º Decil;1291.87
2013;Judiciário;2º Decil;5721.12
2013;Legislativo;2º Decil;1421.05
2013;Estadual;2º Decil;1771.7
2013;Executivo Estadual;2º Decil;1725.56
2013;Judiciário Estadual;2º Decil;5102.87
2013;Legislativo Estadual;2º Decil;1642.51
2013;Federal;2º Decil;3515.72
2013;Executivo Federal;2º Decil;3285.03
2013;Judiciário Federal;2º Decil;8609.36
2013;Legislativo Federal;2º Decil;2353.04
2013;Municipal;2º Decil;1153.45
2013;Executivo Municipal;2º Decil;1153.45
2013;Legislativo Municipal;2º Decil;1328.78
2012;Público;2º Decil;1296.87
2012;Executivo;2º Decil;1278.86
2012;Judiciário;2º Decil;5394.62
2012;Legislativo;2º Decil;1440.97
2012;Estadual;2º Decil;1729.16
2012;Executivo Estadual;2º Decil;1675.13
2012;Judiciário Estadual;2º Decil;4863.27
2012;Legislativo Estadual;2º Decil;1792.2
2012;Federal;2º Decil;3584.41
2012;Executivo Federal;2º Decil;3404.29
2012;Judiciário Federal;2º Decil;7799.24
2012;Legislativo Federal;2º Decil;2314.55
2012;Municipal;2º Decil;1134.76
2012;Executivo Municipal;2º Decil;1134.76
2012;Legislativo Municipal;2º Decil;1269.85
2011;Público;2º Decil;1196.11
2011;Executivo;2º Decil;1179.5
2011;Judiciário;2º Decil;5174.83
2011;Legislativo;2º Decil;1403.77
2011;Estadual;2º Decil;1611.42
2011;Executivo Estadual;2º Decil;1561.59
2011;Judiciário Estadual;2º Decil;4493.71
2011;Legislativo Estadual;2º Decil;1727.71
2011;Federal;2º Decil;3422.2
2011;Executivo Federal;2º Decil;3305.91
2011;Judiciário Federal;2º Decil;8231.55
2011;Legislativo Federal;2º Decil;2217.78
2011;Municipal;2º Decil;1038.29
2011;Executivo Municipal;2º Decil;1038.29
2011;Legislativo Municipal;2º Decil;1212.72
2010;Público;2º Decil;1161.85
2010;Executivo;2º Decil;1145.25
2010;Judiciário;2º Decil;4697.19
2010;Legislativo;2º Decil;1352.73
2010;Estadual;2º Decil;1560.2
2010;Executivo Estadual;2º Decil;1518.7
2010;Judiciário Estadual;2º Decil;4141.17
